[06:57:06]	Г@H3NK has connected.
[09:44:04]	Александр Климов has spawned 'models/props_phx/construct/concrete_barrier00.mdl'.
[09:44:15]	Александр Климов has spawned 'models/mechanics/various/211.mdl'.
[09:44:17]	Александр Климов has spawned 'models/mechanics/various/211.mdl'.
[09:44:22]	Александр Климов has spawned 'models/props_phx/misc/bunker01.mdl'.
[09:44:39]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:44:45]	Александр Климов entered observer.
[09:44:46]	Александр Климов exited observer at their location.
[09:44:51]	Александр Климов entered observer.
[09:44:53]	Александр Климов exited observer at their location.
[09:45:32]	Александр Климов has spawned 'models/hunter/blocks/cube4x6x025.mdl'.
[09:46:19]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:47:00]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:47:02]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:47:03]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:47:05]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:48:11]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:48:31]	Александр Климов has spawned 'models/hunter/plates/plate2x2.mdl'.
[09:48:38]	Александр Климов has spawned 'models/hunter/plates/plate1x5.mdl'.
[09:48:39]	Александр Климов has spawned 'models/hunter/plates/plate1x4.mdl'.
[09:48:41]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:50:15]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:50:56]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:51:09]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:51:35]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:51:36]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:52:05]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:54:24]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:54:24]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:54:24]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:54:24]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:54:24]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:54:24]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:07]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:07]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:07]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:55:07]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:55:07]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:08]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:13]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:14]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:14]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:55:14]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:55:14]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:14]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:17]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:17]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:17]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:55:17]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:55:17]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:17]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:20]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:20]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:20]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:55:20]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:55:20]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:20]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:27]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:27]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:27]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:55:27]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:55:27]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:27]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:50]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:50]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:50]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:55:50]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:55:50]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:50]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:54]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:54]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:54]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:55:54]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:55:54]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:54]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:56]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:55:57]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:57]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:55:57]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:55:57]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:55:57]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:56:02]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:56:02]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:56:02]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:56:02]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:56:02]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:56:02]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:56:08]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:56:08]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:56:08]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:56:08]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:56:08]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:56:08]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:56:14]	Александр Климов entered observer.
[09:56:15]	Александр Климов exited observer at their location.
[09:56:27]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:56:27]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:56:27]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:56:27]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:56:27]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:56:27]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:56:36]	Александр Климов entered observer.
[09:56:38]	Александр Климов exited observer at their location.
[09:56:52]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:56:52]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:56:52]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:56:52]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:56:52]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:56:52]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:57:03]	Александр Климов entered observer.
[09:57:05]	Александр Климов exited observer at their location.
[09:57:08]	Александр Климов entered observer.
[09:57:09]	Александр Климов exited observer at their location.
[09:57:16]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:57:16]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:57:16]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:57:16]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:57:16]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:57:16]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:57:20]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:57:20]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:57:20]	Александр Климов has spawned 'models/hunter/blocks/cube025x3x025.mdl'.
[09:57:20]	Александр Климов has spawned 'models/hunter/plates/plate1x3.mdl'.
[09:57:20]	Александр Климов has spawned 'models/hunter/blocks/cube025x2x025.mdl'.
[09:57:20]	Александр Климов has spawned 'models/hunter/plates/plate1x2.mdl'.
[09:57:36]	Александр Климов entered observer.
[09:57:38]	Александр Климов exited observer at their location.
[09:58:19]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:58:22]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:58:24]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:58:27]	Александр Климов has spawned 'models/props_c17/FurnitureCouch002a.mdl'.
[09:58:28]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:58:30]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:58:32]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:58:34]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:58:36]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:58:38]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:58:40]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:58:42]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:58:44]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[09:58:46]	Александр Климов has spawned 'models/props_c17/Lockers001a.mdl'.
[10:00:05]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:00:34]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:00:35]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:00:36]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:00:37]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:00:50]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:00:51]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:00:51]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:00:52]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:00:56]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:01:07]	Александр Климов entered observer.
[10:01:08]	Александр Климов exited observer at their location.
[10:01:28]	Александр Климов entered observer.
[10:01:28]	Александр Климов exited observer at their location.
[10:01:48]	Александр Климов entered observer.
[10:01:50]	Александр Климов exited observer at their location.
[10:02:12]	Александр Климов entered observer.
[10:02:15]	Александр Климов exited observer at their location.
[10:02:24]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:02:24]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:02:25]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:02:26]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:02:37]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:02:38]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:02:39]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:02:40]	Александр Климов has spawned 'models/props_trainstation/benchoutdoor01a.mdl'.
[10:02:52]	Александр Климов entered observer.
[10:02:56]	Александр Климов exited observer at their location.
[10:03:20]	Александр Климов used command '/ActSit'.
[10:03:23]	Александр Климов used command '/ExitAct'.
[10:04:01]	Александр Климов entered observer.
[10:04:05]	Александр Климов exited observer at their location.
[10:05:41]	Александр Климов used the 'Арина' vendor.
[10:06:05]	Александр Климов used command '/AreaEdit'.
[10:06:06]	Александр Климов entered observer.
[10:07:12]	Александр Климов has added area "База Сопротивления".
[10:07:23]	Александр Климов exited observer at their location.
[10:07:28]	Александр Климов entered observer.
[10:07:29]	Александр Климов exited observer at their location.
[10:07:31]	Александр Климов entered observer.
[10:07:32]	Александр Климов exited observer at their location.
[10:07:37]	Александр Климов entered observer.
[10:07:39]	Александр Климов exited observer at their location.
[10:07:44]	Александр Климов entered observer.
[10:07:48]	Александр Климов exited observer at their location.
[10:07:51]	Александр Климов entered observer.
[10:07:52]	Александр Климов exited observer at their location.
[10:07:55]	Александр Климов entered observer.
[10:08:00]	Александр Климов exited observer at their location.
[10:08:02]	Александр Климов entered observer.
[10:08:08]	Александр Климов exited observer at their location.
[10:10:34]	Александр Климов opened the 'Locker' #48 container.
[10:10:36]	Александр Климов closed the 'Locker' #48 container.
[10:10:45]	Александр Климов opened the 'Locker' #49 container.
[10:10:46]	Александр Климов closed the 'Locker' #49 container.
[10:10:52]	Александр Климов ran 'Frequency' on item 'Портативная рация' (#93)
[10:10:54]	Александр Климов ran 'Toggle' on item 'Портативная рация' (#93)
[10:11:27]	Александр Климов entered observer.
[10:11:29]	Александр Климов exited observer at their location.
[10:17:43]	Александр Климов entered observer.
[10:17:49]	Александр Климов exited observer at their location.
[10:17:57]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #47 container.
[10:18:01]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #47 container.
[10:18:09]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #45 container.
[10:18:11]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #45 container.
[10:18:24]	Александр Климов ran 'Toggle' on item 'Портативная рация' (#93)
[10:18:26]	Александр Климов ran 'Toggle' on item 'Портативная рация' (#93)
[10:18:27]	Александр Климов ran 'Frequency' on item 'Портативная рация' (#93)
[10:18:45]	Александр Климов opened the 'ПАТРОНЫ (пароль: ammo)' #44 container.
[10:18:48]	Александр Климов closed the 'ПАТРОНЫ (пароль: ammo)' #44 container.
[10:21:59]	Александр Климов opened the 'Locker' #48 container.
[10:22:01]	Александр Климов closed the 'Locker' #48 container.
[10:22:16]	Александр Климов used command '/ActSit'.
[10:25:08]	Александр Климов used command '/ExitAct'.
[10:29:21]	Александр Климов has gained 0 tokens.
[10:29:21]	Александр Климов ordered a shipment
[10:29:25]	Александр Климов has gained a 'Standard Supplements' #189.
[10:29:25]	Александр Климов took 'Standard Supplements' from the shipment
[10:29:25]	Александр Климов has gained a 'Standard Supplements' #190.
[10:29:25]	Александр Климов took 'Standard Supplements' from the shipment
[10:29:28]	Александр Климов ran 'Consume' on item 'Standard Supplements' (#189)
[10:29:29]	Александр Климов ran 'Consume' on item 'Standard Supplements' (#190)
[10:30:32]	֍ Aime-moi ֍ has connected.
[10:31:12]	֍ Aime-moi ֍ loaded the character 'D8.MPF-BLADE.57989'
[10:31:42]	D8.MPF-BLADE.57989 entered observer.
[10:31:50]	Александр Климов has gained 0 tokens.
[10:31:50]	Александр Климов ordered a shipment
[10:31:54]	Александр Климов has gained a '2L Water' #189.
[10:31:54]	Александр Климов took '2L Water' from the shipment
[10:31:54]	Александр Климов has gained a '2L Water' #190.
[10:31:54]	Александр Климов took '2L Water' from the shipment
[10:31:54]	Александр Климов has gained a '2L Water' #191.
[10:31:54]	Александр Климов took '2L Water' from the shipment
[10:31:57]	Александр Климов ran 'Consume' on item '2L Water' (#191)
[10:31:57]	Александр Климов ran 'Consume' on item '2L Water' (#190)
[10:31:58]	Александр Климов ran 'drop' on item '2L Water' (#189)
[10:31:58]	Александр Климов has lost a '2L Water' #189.
[10:32:00]	D8.MPF-BLADE.57989 exited observer at their location.
[10:32:21]	D8.MPF-BLADE.57989 used command '/ViewData Александр'.
[10:32:37]	Александр Климов entered observer.
[10:32:41]	Александр Климов opened the 'File Cabinet' #43 container.
[10:32:43]	Александр Климов has gained a 'И.К. Гражданина' #70.
[10:32:44]	Александр Климов closed the 'File Cabinet' #43 container.
[10:32:46]	Александр Климов exited observer at their location.
[10:32:48]	D8.MPF-BLADE.57989 used command '/ViewObjectives'.
[10:32:53]	D8.MPF-BLADE.57989 used command '/ViewObjectives'.
[10:33:18]	Александр Климов has gained 0 tokens.
[10:33:18]	Александр Климов ordered a shipment
[10:33:22]	Александр Климов has gained a 'Standard Supplements' #190.
[10:33:22]	Александр Климов took 'Standard Supplements' from the shipment
[10:33:23]	Александр Климов has gained a 'Standard Supplements' #191.
[10:33:23]	Александр Климов took 'Standard Supplements' from the shipment
[10:33:23]	Александр Климов has gained a 'Standard Supplements' #192.
[10:33:23]	Александр Климов took 'Standard Supplements' from the shipment
[10:33:25]	Александр Климов ran 'Consume' on item 'Standard Supplements' (#192)
[10:33:26]	Александр Климов ran 'Consume' on item 'Standard Supplements' (#191)
[10:33:27]	Александр Климов ran 'drop' on item 'Standard Supplements' (#190)
[10:33:27]	Александр Климов has lost a 'Standard Supplements' #190.
[10:34:07]	Александр Климов ran 'drop' on item 'Наручкики' (#128)
[10:34:07]	Александр Климов has lost a 'Наручкики' #128.
[10:34:11]	D8.MPF-BLADE.57989 ran 'Use' on item 'Наручкики' (#128)
[10:34:15]	D8.MPF-BLADE.57989 ran 'Use' on item 'Наручкики' (#128)
[10:34:18]	D8.MPF-BLADE.57989 ran 'Use' on item 'Наручкики' (#128)
[10:34:49]	D8.MPF-BLADE.57989 ran 'Use' on item 'Наручкики' (#128)
[10:34:52]	D8.MPF-BLADE.57989 ran 'Use' on item 'Наручкики' (#128)
[10:35:27]	֍ Aime-moi ֍ loaded the character 'OTA-ECHO.OWS-34096'
[10:36:05]	OTA-ECHO.OWS-34096 used command '/CharSetModel OTA models/romka/romka_combine_soldier.mdl'.
[10:36:19]	OTA-ECHO.OWS-34096 used command '/CharGiveFlag OTA CVcenrptv'.
[10:36:50]	OTA-ECHO.OWS-34096 used command '/CharSetModel OTA models/combine_soldier_notr.mdl'.
[10:36:56]	֍ Aime-moi ֍ (STEAM_0:0:424879351) has disconnected.
[10:38:35]	Г@H3NK has connected.
[10:39:42]	Г@H3NK loaded the character 'Александр Климов'
[10:40:09]	Александр Климов entered observer.
[10:40:11]	Александр Климов exited observer at their location.
[10:40:15]	Александр Климов entered observer.
[10:40:17]	Александр Климов exited observer at their location.
[10:42:02]	Александр Климов has spawned 'models/props_junk/wood_pallet001a.mdl'.
[10:42:14]	Александр Климов entered observer.
[10:42:18]	Александр Климов exited observer at their location.
[10:42:42]	֍ Aime-moi ֍ has connected.
[10:43:15]	֍ Aime-moi ֍ loaded the character 'OTA-ECHO.OWS-34096'
[10:44:07]	Г@H3NK has connected.
[10:45:49]	֍ Aime-moi ֍ has connected.
[10:46:37]	֍ Aime-moi ֍ created the character 'OTA-ECHO.OWS-06673'
[10:46:37]	OTA-ECHO.OWS-06673 has gained a 'FAMAS' #189.
[10:46:37]	OTA-ECHO.OWS-06673 has gained a 'Five-seveN' #190.
[10:46:37]	OTA-ECHO.OWS-06673 has gained a 'Ящик среднекалиберных патрон' #191.
[10:46:37]	OTA-ECHO.OWS-06673 has gained a 'Ящик среднекалиберных патрон' #192.
[10:46:37]	OTA-ECHO.OWS-06673 has gained a 'Ящик среднекалиберных патрон' #193.
[10:46:37]	OTA-ECHO.OWS-06673 has gained a 'Ящик среднекалиберных патрон' #194.
[10:46:37]	֍ Aime-moi ֍ loaded the character 'OTA-ECHO.OWS-06673'
[10:47:10]	OTA-ECHO.OWS-06673 used command '/CharSetModel OTA models/romka/romka_combine_soldier.mdl'.
[10:47:21]	֍ Aime-moi ֍ (STEAM_0:0:424879351) deleted character 'OTA-ECHO.OWS-06673'
[10:47:23]	֍ Aime-moi ֍ loaded the character 'OTA-ECHO.OWS-34096'
[10:47:34]	OTA-ECHO.OWS-34096 ran 'Equip' on item '.9mm Pistol' (#23)
[10:47:35]	OTA-ECHO.OWS-34096 ran 'use' on item 'Ящик мелкокалиберных патронов' (#24)
[10:47:36]	OTA-ECHO.OWS-34096 ran 'use' on item 'Ящик мелкокалиберных патронов' (#25)
[10:48:00]	OTA-ECHO.OWS-34096 entered observer.
[10:48:09]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:48:10]	OTA-ECHO.OWS-34096 entered observer.
[10:48:19]	Г@H3NK loaded the character 'Александр Климов'
[10:48:36]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:48:38]	OTA-ECHO.OWS-34096 entered observer.
[10:48:41]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:48:45]	OTA-ECHO.OWS-34096 entered observer.
[10:48:49]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:48:51]	OTA-ECHO.OWS-34096 entered observer.
[10:48:53]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:48:59]	OTA-ECHO.OWS-34096 entered observer.
[10:49:02]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:49:25]	Александр Климов used the 'Арина' vendor.
[10:49:28]	OTA-ECHO.OWS-34096 entered observer.
[10:49:29]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:49:30]	Александр Климов has lost 290 tokens.
[10:49:30]	Александр Климов has gained a 'M3 Super 90' #189.
[10:49:30]	OTA-ECHO.OWS-34096 entered observer.
[10:49:32]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:49:34]	OTA-ECHO.OWS-34096 entered observer.
[10:49:35]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:49:38]	Александр Климов has gained 0 tokens.
[10:49:38]	Александр Климов ordered a shipment
[10:49:41]	OTA-ECHO.OWS-34096 entered observer.
[10:49:41]	Александр Климов has gained a 'Ящик гильз' #190.
[10:49:41]	Александр Климов took 'Ящик гильз' from the shipment
[10:49:45]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:49:46]	Александр Климов ran 'Equip' on item 'M3 Super 90' (#189)
[10:49:48]	Александр Климов ran 'use' on item 'Ящик гильз' (#190)
[10:49:48]	OTA-ECHO.OWS-34096 entered observer.
[10:49:50]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:49:55]	OTA-ECHO.OWS-34096 has spawned a 'Entity [880][item_ammo_ar2_large]'.
[10:49:55]	OTA-ECHO.OWS-34096 has spawned a 'Entity [881][item_ammo_ar2_large]'.
[10:49:56]	OTA-ECHO.OWS-34096 has spawned a 'Entity [880][item_ammo_ar2_altfire]'.
[10:49:56]	OTA-ECHO.OWS-34096 has spawned a 'Entity [881][item_ammo_ar2_altfire]'.
[10:49:56]	OTA-ECHO.OWS-34096 has spawned a 'Entity [882][item_ammo_ar2_altfire]'.
[10:50:21]	OTA-ECHO.OWS-34096 entered observer.
[10:50:24]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:50:25]	Александр Климов has taken 11 damage from OTA-ECHO.OWS-34096.
[10:50:28]	Александр Климов has taken 1000 damage from OTA-ECHO.OWS-34096.
[10:50:28]	OTA-ECHO.OWS-34096 has killed Александр Климов with weapon_ar2.
[10:50:36]	OTA-ECHO.OWS-34096 entered observer.
[10:50:45]	Александр Климов ran 'Equip' on item 'M3 Super 90' (#189)
[10:50:53]	Александр Климов has gained 0 tokens.
[10:50:53]	Александр Климов ordered a shipment
[10:50:57]	Александр Климов has gained a 'Коробочка с гильзами' #190.
[10:50:57]	Александр Климов took 'Коробочка с гильзами' from the shipment
[10:50:57]	Александр Климов has gained a 'Коробочка с гильзами' #191.
[10:50:57]	Александр Климов took 'Коробочка с гильзами' from the shipment
[10:51:00]	Александр Климов ran 'use' on item 'Коробочка с гильзами' (#190)
[10:51:00]	Александр Климов ran 'use' on item 'Коробочка с гильзами' (#191)
[10:51:11]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:51:19]	OTA-ECHO.OWS-34096 entered observer.
[10:51:25]	OTA-ECHO.OWS-34096 exited observer at their location.
[10:51:31]	֍ Aime-moi ֍ loaded the character 'D8.MPF-BLADE.57989'
[10:51:32]	D8.MPF-BLADE.57989 entered observer.
[10:54:31]	Александр Климов entered observer.
[10:54:33]	Александр Климов exited observer at their location.
[10:54:33]	Александр Климов entered observer.
[10:54:34]	Александр Климов exited observer at their location.
[10:58:21]	Г@H3NK has connected.
[10:59:04]	Г@H3NK loaded the character 'Александр Климов'
[11:01:56]	Г@H3NK has connected.
[11:02:51]	Г@H3NK loaded the character 'Александр Климов'
[11:02:54]	Александр Климов entered observer.
[11:02:57]	Александр Климов exited observer at their location.
[11:03:21]	Александр Климов has spawned 'models/props_junk/wood_pallet001a.mdl'.
[11:03:32]	Александр Климов has spawned 'models/props_junk/wood_pallet001a.mdl'.
[11:03:34]	Александр Климов has spawned 'models/props_junk/wood_pallet001a.mdl'.
[11:03:38]	Александр Климов has spawned 'models/props_junk/wood_pallet001a.mdl'.
[11:04:31]	Александр Климов has spawned 'models/props_interiors/refrigerator01a.mdl'.
[11:04:41]	Александр Климов has spawned 'models/props_junk/PushCart01a.mdl'.
[11:04:47]	Александр Климов has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[11:04:49]	Александр Климов has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[11:04:54]	Александр Климов has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[11:05:10]	Александр Климов has spawned 'models/props_docks/channelmarker_gib01.mdl'.
[11:05:12]	Александр Климов has spawned 'models/props_docks/dock01_pole01a_128.mdl'.
[11:05:13]	Александр Климов has spawned 'models/props_docks/dock01_pole01a_256.mdl'.
[11:05:35]	Александр Климов has spawned 'models/props_wasteland/prison_shelf002a.mdl'.
[11:05:55]	Александр Климов has spawned 'models/props_wasteland/controlroom_filecabinet001a.mdl'.
[11:05:59]	Александр Климов has spawned 'models/props_wasteland/controlroom_filecabinet002a.mdl'.
[11:06:11]	Александр Климов has spawned 'models/props_wasteland/cafeteria_table001a.mdl'.
[11:06:39]	Александр Климов has spawned 'models/props_interiors/ElevatorShaft_Door01a.mdl'.
[11:07:05]	Александр Климов has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:07:07]	Александр Климов has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:07:08]	Александр Климов has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
[11:07:09]	Александр Климов has enabled persistence for 'models/props_junk/wood_pallet001a.mdl'.
